Instruction,Response
How do iodine sign up for an extended guarantee for my product?,You may get in touch with the brand to register for an widen warranty for your merchandise
From when be the warranty for my product applicable? Please check.,"The warranty for your merchandise starts from the date mentioned on the seller's invoice. In case of iPhones, the SIM activation date will be considered arsenic the date from which the warranty of your merchandise starts."
I see that the warranty terms for my product have changed on Flipkart from when iodine buy the product. Will this affect my warranty?,ordinal number The warranty footing for your product will be the same as when you got the product & will not affect your warranty inch any way.
What should I bash if a service centre denied my request to repair a product that is under warranty?,"If your merchandise be within the guarantee period, please get in touch with us from the 'Orders' section with the service centre details sol we can look into this and help you further."
There is no seal on the warranty card iodine got. How volition I claim warranty? Please check.,The seal on the warranty card is not mandatory for the warranty to beryllium valid. The invoice you received along with the product can be used to claim warranty for the merchandise as information technology hour angle the details of your purchase.
How can I place an order?,"To topographic point an order, please follow these steps: 1. Select the product you'd like to buy and 'Check handiness at' your preferred pincode 2. Add products to your cart or just hit 'Buy Now' 3. Choose or 'Add delivery address'. Use a preferred payment mode and confirm the order"
How can I order for large quantities of the product as part of a corporate order? Please check.,Note: You can write to corporatesales@flipkart.com for your corporate gifting requirements. Ensure timely action.
What does 'Permanently Discontinued' or 'Out of Print' mean? Please check.,Note: An item is marked arsenic 'Out of stock' when it is not available with any sellers at the moment; you won't be able to buy it now. Use 'Notify Me' feature to know once it's available with sellers for purchase. Ensure timely action.
Why do I see different prices for the Lapp product? Please check.,"You could see different monetary value for the same product, as it could be listed by many sellers."
Can iodine order angstrom merchandise that be 'Out of Stock' or 'Temporarily Unavailable'? Please check.,Products listed as 'Out of Stock' or 'Temporarily Unavailable' are not available for sale. Please use the 'Notify Me' feature to be informed of the product's handiness with sellers on Flipkart.
